"instrument_key","exchange_token","tradingsymbol","name","last_price","expiry","strike","tick_size","lot_size","instrument_type","option_type","exchange"
"BSE_FO|845329","845329","BANKEX25MAR52700PE","BANKEX","0","2025-03-25","52700.0","0.05","30","OPTIDX","PE","BSE_FO"
"BSE_FO|860956","860956","SENSEX25APR72600CE","SENSEX","0","2025-04-29","72600.0","0.05","20","OPTIDX","CE","BSE_FO"
"BSE_FO|860957","860957","SENSEX25APR74900CE","SENSEX","0","2025-04-29","74900.0","0.05","20","OPTIDX","CE","BSE_FO"
"BSE_EQ|INE092E01011","521054","KAKTEX","KAKATIYA TEXTILES LTD.","19.89","","","0.01","1","EQUITY","","BSE_EQ"
"BSE_FO|860958","860958","BANKEX25APR51900CE","BANKEX","0","2025-04-29","51900.0","0.05","30","OPTIDX","CE","BSE_FO"
"BSE_FO|860952","860952","SENSEX25APR78600CE","SENSEX","0","2025-04-29","78600.0","0.05","20","OPTIDX","CE","BSE_FO"
"BSE_FO|860953","860953","BANKEX25APR53300CE","BANKEX","0","2025-04-29","53300.0","0.05","30","OPTIDX","CE","BSE_FO"
"BSE_FO|860954","860954","BANKEX25APR55600CE","BANKEX","0","2025-04-29","55600.0","0.05","30","OPTIDX","CE","BSE_FO"
"BSE_EQ|INE310A01015","523385","NILKAMAL","NILKAMAL LTD.","1539.55","","","0.05","1","EQUITY","","BSE_EQ"
"BSE_FO|860955","860955","BANKEX25APR57900CE","BANKEX","0","2025-04-29","57900.0","0.05","30","OPTIDX","CE","BSE_FO"
"BSE_FO|860950","860950","SENSEX25APR74000CE","SENSEX","1834.0","2025-04-29","74000.0","0.05","20","OPTIDX","CE","BSE_FO"
"BSE_FO|860951","860951","SENSEX25APR76300CE","SENSEX","0","2025-04-29","76300.0","0.05","20","OPTIDX","CE","BSE_FO"
"BSE_EQ|INE053F08270","974629","775IRFC33","IRFC-7.75%-15-4-33-PVT","0","","","0.01","1","EQUITY","","BSE_EQ"
"BSE_EQ|INE040A08500","953957","835HDFCB26","HDFCB-8.35%-13-5-26-PVT","0","","","0.01","1","EQUITY","","BSE_EQ"
"BSE_FO|860967","860967","SENSEX2531877300CE","SENSEX","0","2025-03-18","77300.0","0.05","20","OPTIDX","CE","BSE_FO"
"BSE_FO|860968","860968","BANKEX25APR56200CE","BANKEX","0","2025-04-29","56200.0","0.05","30","OPTIDX","CE","BSE_FO"
"BSE_FO|860969","860969","SENSEX2531879600CE","SENSEX","0","2025-03-18","79600.0","0.05","20","OPTIDX","CE","BSE_FO"
"BSE_FO|860963","860963","SENSEX25APR80300CE","SENSEX","113.15","2025-04-29","80300.0","0.05","20","OPTIDX","CE","BSE_FO"
"BSE_FO|860965","860965","SENSEX2531875000CE","SENSEX","195.35","2025-03-18","75000.0","0.05","20","OPTIDX","CE","BSE_FO"
"BSE_FO|860966","860966","SENSEX25318FUT","SENSEX","74208.8","2025-03-18","0.0","0.05","20","FUTIDX","FF","BSE_FO"
"BSE_FO|860960","860960","SENSEX5025APR24050PE","SENSEX50","0","2025-04-29","24050.0","0.05","60","OPTIDX","PE","BSE_FO"
"BSE_EQ|INE514Q07296","975170","1350PFSP27","PFSPL-13.50%-30-10-27-PVT","0","","","0.01","1","EQUITY","","BSE_EQ"
"BSE_EQ|INE966H01019","532794","ZEEMEDIA","ZEE MEDIA CORPORATION LIMITED","14.6","","","0.01","1","EQUITY","","BSE_EQ"
"BSE_EQ|INE053F08288","974678","751IRFC26","IRFC-7.51%-15-4-26-PVT","0","","","0.01","1","EQUITY","","BSE_EQ"
"BSE_EQ|INE124B01018","523100","COSMOFE","COSMO FERRITES LTD.","223.25","","","0.05","1","EQUITY","","BSE_EQ"
"BSE_FO|860978","860978","SENSEX25APR76600PE","SENSEX","0","2025-04-29","76600.0","0.05","20","OPTIDX","PE","BSE_FO"
"BSE_FO|860979","860979","SENSEX25APR78900PE","SENSEX","0","2025-04-29","78900.0","0.05","20","OPTIDX","PE","BSE_FO"
"BSE_EQ|INE533C01018","530235","KJMCFIN","KJMC FINANCIAL SERVICES LTD.","87.65","","","0.01","1","EQUITY","","BSE_EQ"
"BSE_FO|860974","860974","SENSEX2531873600CE","SENSEX","891.15","2025-03-18","73600.0","0.05","20","OPTIDX","CE","BSE_FO"
"BSE_FO|860975","860975","SENSEX25APR72000PE","SENSEX","430.4","2025-04-29","72000.0","0.05","20","OPTIDX","PE","BSE_FO"
"BSE_FO|859986","859986","SENSEX29JUN80000PE","SENSEX","0","2029-06-26","80000.0","0.05","20","OPTIDX","PE","BSE_FO"
"BSE_FO|860976","860976","SENSEX2531875900CE","SENSEX","44.15","2025-03-18","75900.0","0.05","20","OPTIDX","CE","BSE_FO"
