"instrument_key","exchange_token","tradingsymbol","name","last_price","expiry","strike","tick_size","lot_size","instrument_type","option_type","exchange"
"BSE_EQ|INE092E01011","521054","KAKTEX","KAKATIYA TEXTILES LTD.","19.89","","","0.01","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE310A01015","523385","NILKAMAL","NILKAMAL LTD.","1539.55","","","0.05","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE053F08270","974629","775IRFC33","IRFC-7.75%-15-4-33-PVT","0.0","","","0.01","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE040A08500","953957","835HDFCB26","HDFCB-8.35%-13-5-26-PVT","0.0","","","0.01","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE514Q07296","975170","1350PFSP27","PFSPL-13.50%-30-10-27-PVT","0.0","","","0.01","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE966H01019","532794","ZEEMEDIA","ZEE MEDIA CORPORATION LIMITED","14.6","","","0.01","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE053F08288","974678","751IRFC26","IRFC-7.51%-15-4-26-PVT","0.0","","","0.01","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE124B01018","523100","COSMOFE","COSMO FERRITES LTD.","223.25","","","0.05","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE533C01018","530235","KJMCFIN","KJMC FINANCIAL SERVICES LTD.","87.65","","","0.01","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE053F08296","974679","774IRFC38","IRFC-7.74%-15-4-38-PVT","0.0","","","0.01","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE347D01011","502250","LERTHAI","LERTHAI FINANCE LIMITED","524.75","","","0.05","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE053F08221","974497","765IRFC32","IRFC-7.65%-30-12-32-PVT","0.0","","","0.01","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE493N01012","538081","HARIAAPL","HARIA APPARELS LTD","5.22","","","0.01","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE0KGZ01021","544117","SIGNPOST","Signpost India Limited","235.0","","","0.05","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE055E01034","530053","REALECO","REAL ECO-ENERGY LIMITED","5.63","","","0.01","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE053F08239","974538","74IRFC26","IRFC-7.4%-18-4-26-PVT","0.0","","","0.01","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE040A08542","953988","845HDFCB26","HDFCB-8.45%-18-05-26-PVT","0.0","","","0.01","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE868C01018","522273","AHMDSTE","AHMEDABAD STEELCRAFT LTD.","240.0","","","0.05","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE053F08247","974539","765IRFC33","IRFC-7.65%-18-4-33-PVT","0.0","","","0.01","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|IN000231C026","800394","GS220231C","GS22FEB31C","0.0","","","0.01","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE998D01011","501311","JAYBHCR","JAYABHARAT CREDIT LTD.","15.0","","","0.01","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE0AE001013","543974","VPRPL","VISHNU PRAKASH R PUNGLIA LIMIT","161.75","","","0.05","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE474Q01031","543654","MEDANTA","Global Health Limited","1208.9","","","0.05","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE202E08243","976153","732IREDA29","IREDA-7.32%-4-11-29-PVT","0.0","","","0.01","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE0QXT01018","544170","SAI","Sai Swami Metals and Alloys Li","33.0","","","0.01","2000.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE647O08131","976007","786ABFRL26","ABFRL-7.86%-31-12-26-PVT","0.0","","","0.01","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE202E08235","975999","736IRED39","IREDA-7.36%-9-9-39-PVT","0.0","","","0.01","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE202E08250","976195","737IREDA31","IREDAL-7.37%-27-11-31-PVT","0.0","","","0.01","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE647O08123","975069","757ABFRL30","ABFRL-7.57%-12-9-30-PVT","0.0","","","0.01","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE918C01029","538788","GILADAFINS","Gilada Finance & Investments L","11.68","","","0.01","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE416A01044","530943","SABTNL","SRI ADHIKARI BROTHERS TELEVISI","470.9","","","0.05","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|IN9397D01014","890157","AIRTELPP","Bharti Airtel  Ltd.","1158.15","","","0.05","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|IN2020210190","810830","742KL34","742KERSDL34","0.0","","","0.01","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE217T07019","975545","12SPPL28","SPPL-12%-21-3-28-PVT","0.0","","","0.01","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE838Z01012","541444","PALMJEWELS","Palm Jewels Limited","37.83","","","0.01","1.0","EQUITY","","BSE_EQ"
