"tradingsymbol","instrument_key_nse","instrument_key_bse"
"A2ZINFRA","NSE_EQ|INE619I01012","BSE_EQ|INE619I01012"
"AAATECH","NSE_EQ|INE0D0U01013","BSE_EQ|INE0D0U01013"
"AADHARHFC","NSE_EQ|INE883F01010","BSE_EQ|INE883F01010"
"AAREYDRUGS","NSE_EQ|INE198H01019","BSE_EQ|INE198H01019"
"AARTECH","NSE_EQ|INE01C001026","BSE_EQ|INE01C001026"
"AARTIDRUGS","NSE_EQ|INE767A01016","BSE_EQ|INE767A01016"
"AARTIIND","NSE_EQ|INE769A01020","BSE_EQ|INE769A01020"
"AARTIPHARM","NSE_EQ|INE0LRU01027","BSE_EQ|INE0LRU01027"
"AARTISURF","NSE_EQ|INE09EO01013","BSE_EQ|INE09EO01013"
"AARVEEDEN","NSE_EQ|INE273D01019","BSE_EQ|INE273D01019"
"AAVAS","NSE_EQ|INE216P01012","BSE_EQ|INE216P01012"
"ABAN","NSE_EQ|INE421A01028","BSE_EQ|INE421A01028"
"ABB","NSE_EQ|INE117A01022","BSE_EQ|INE117A01022"
"ABBOTINDIA","NSE_EQ|INE358A01014","BSE_EQ|INE358A01014"
"ABCAPITAL","NSE_EQ|INE674K01013","BSE_EQ|INE674K01013"
"ABDL","NSE_EQ|INE552Z01027","BSE_EQ|INE552Z01027"
"ABFRESET27","NSE_EQ|INE860H07IX6","BSE_EQ|INE860H07IX6"
"ABFRL","NSE_EQ|INE647O01011","BSE_EQ|INE647O01011"
"ABGSEC","NSE_EQ|INF209KC1134","BSE_EQ|INF209KC1134"
"ABINFRA","NSE_EQ|INE00YB01017","BSE_EQ|INE00YB01017"
"ABREL","NSE_EQ|INE055A01016","BSE_EQ|INE055A01016"
"ABSLAMC","NSE_EQ|INE404A01024","BSE_EQ|INE404A01024"
"ABSLBANETF","NSE_EQ|INF209KB17D5","BSE_EQ|INF209KB17D5"
"ABSLLIQUID","NSE_EQ|INF209KB18T9","BSE_EQ|INF209KB18T9"
"ABSLNN50ET","NSE_EQ|INF209KB16D7","BSE_EQ|INF209KB16D7"
"ABSLPSE","NSE_EQ|INF209KB19Z4","BSE_EQ|INF209KB19Z4"
"ACC","NSE_EQ|INE012A01025","BSE_EQ|INE012A01025"
"ACCELYA","NSE_EQ|INE793A01012","BSE_EQ|INE793A01012"
"ACE","NSE_EQ|INE731H01025","BSE_EQ|INE731H01025"
"ACI","NSE_EQ|INE128X01021","BSE_EQ|INE128X01021"
"ACL","NSE_EQ|INE666E01020","BSE_EQ|INE666E01020"
"ACLGATI","NSE_EQ|INE152B01027","BSE_EQ|INE152B01027"
"ACMESOLAR","NSE_EQ|INE622W01025","BSE_EQ|INE622W01025"
"ADANIENSOL","NSE_EQ|INE931S01010","BSE_EQ|INE931S01010"
"ADANIENT","NSE_EQ|INE423A01024","BSE_EQ|INE423A01024"
